address,property_type,area_name,municipality,is_savedalen,sale_type,sold_date,year,month,final_price_sek,asking_price_sek,price_change_sek,price_change_percent,living_area_m2,extra_area_m2,rooms,plot_area_m2,price_per_m2,bid_change_percent,source_url,source_text
Källsprångsvägen 14,Villa,Öjersjö,Partille,no,Slutpris,2026-05-31,2026,5,8200000,,,,133.0,,3.0,1987.6,61700.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Källsprångsvägen 14 Villa · Öjersjö · Partille 8 200 000 kr +18,8% 133 m² 3 rum 1 987,6 m² tomt 61 700 kr/m² Eldstad 2026-05-31"
Smedjegårdsvägen 3D,Radhus,Lexby Partille,Partille,no,Slutpris,2026-05-31,2026,5,3425000,,,,87.0,20.0,4.0,76.0,39400.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Smedjegårdsvägen 3D Radhus · Lexby Partille · Partille 3 425 000 kr -0,7% 87 + 20 m² 4 rum 76 m² tomt 39 400 kr/m² 2026-05-31"
Tåbäcksvägen 19,Radhus,Partille kommun,Partille,no,Slutpris,2026-05-29,2026,5,5500000,,,,106.0,54.0,4.0,,51900.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Slutpris Tåbäcksvägen 19 Radhus · Partille kommun · Partille 5 500 000 kr 106 + 54 m² 4 rum 51 900 kr/m² 2026-05-29
Vändstensvägen 19,Radhus,Mellby,Partille,no,Slutpris,2026-05-29,2026,5,3700000,,,,,,,,,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Slutpris Vändstensvägen 19 Radhus · Mellby · Partille 3 700 000 kr 2026-05-29
Lindbackevägen 8,Villa,Öjersjö,Partille,no,Slutpris,2026-05-28,2026,5,10250000,8606000.0,1644000.0,19.1,160.0,,4.0,1222.0,64100.0,19.1,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Lindbackevägen 8 Villa · Öjersjö · Partille 10 250 000 kr -2,3% 160 m² 4 rum 1 222 m² tomt 64 100 kr/m² 2026-05-28 +19,1%"
Norra Örjansvägen 4,Villa,Öjersjö,Partille,no,Slutpris,2026-05-28,2026,5,8340000,8340000.0,0.0,0.0,137.0,27.0,4.0,1528.4,60900.0,0.0,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Norra Örjansvägen 4 Villa · Öjersjö · Partille 8 340 000 kr 137 + 27 m² 4 rum 1 528,4 m² tomt 60 900 kr/m² 2026-05-28 +/-0%"
Långekärrsvägen 11,Radhus,Öjersjö,Partille,no,Slutpris,2026-05-27,2026,5,7400000,7528000.0,-128000.0,-1.7,123.0,8.0,,160.0,60200.0,-1.7,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Långekärrsvägen 11 Radhus · Öjersjö · Partille 7 400 000 kr 123 + 8 m² 160 m² tomt 60 200 kr/m² Uteplats 2026-05-27 -1,7%"
Tåbäcksvägen 14,Parhus,Öjersjö,Partille,no,Slutpris,2026-05-25,2026,5,5360000,,,,122.0,49.0,6.0,,43900.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Slutpris Tåbäcksvägen 14 Parhus · Öjersjö · Partille 5 360 000 kr 122 + 49 m² 6 rum 43 900 kr/m² Uteplats 2026-05-25
Björnåsvägen 66,Villa,Sävedalen,Partille,yes,Slutpris,2026-05-22,2026,5,6125000,6679000.0,-554000.0,-8.3,92.0,70.0,4.0,692.0,66600.0,-8.3,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,"Slutpris Björnåsvägen 66 Villa · Sävedalen · Partille 6 125 000 kr 92 + 70 m² 4 rum 692 m² tomt 66 600 kr/m² Eldstad 2026-05-22 -8,3%"
William Gibsons väg 10,Villa,Jonsered,Partille,no,Slutpris,2026-05-22,2026,5,5500000,,,,118.0,42.0,5.0,1193.0,46600.0,,https://www.booli.se/sok/slutpriser?areaIds=268&objectType=Villa%2CKedjehus-Parhus-Radhus&page=1,Slutpris William Gibsons väg 10 Villa · Jonsered · Partille 5 500 000 kr 118 + 42 m² 5 rum 1 193 m² tomt 46 600 kr/m² 2026-05-22
